"postId","commentId","content","timestamp","likeCount"
"aDQZ7zHQsCA","Ugyw73aBevUdGRFgdXN4AaABAg","hên quá tôi ở tây ninh, ở nơi cao ko sao 😂","11/09/2024 11:54","0"
"aDQZ7zHQsCA","Ugw8wUEOO4kNA2nP3UJ4AaABAg","❤❤ ghê quá 😮😮","10/09/2024 19:55","0"
"aDQZ7zHQsCA","Ugwan9jitBKAFGYyu054AaABAg","NAM MÔ A DI ĐÀ PHẬT 
🙏🙏🙏","09/09/2024 14:07","1"
"aDQZ7zHQsCA","UgwCCQQOXK6AI5IgVXd4AaABAg","Thật kinh khủng. Chỉ thương người dân","09/09/2024 21:31","0"
"aDQZ7zHQsCA","UgypVEwV6l-WMJ8q3u54AaABAg","😢😢😢🙏🙏🙏nammo adida phat","07/09/2024 05:22","0"
"aDQZ7zHQsCA","UgyLI6cIYI-ky0s8HZJ4AaABAg","nam mô a di đà phật 🙏🙏🙏","09/09/2024 22:06","1"
"aDQZ7zHQsCA","Ugw1jY4Q6baF7vWYwjV4AaABAg","A di đà phật 😢","10/09/2024 20:28","1"
"aDQZ7zHQsCA","UgyqLX4Ma-r3LD6NSXp4AaABAg","Qn đag gió to quá","07/09/2024 05:26","0"
"aDQZ7zHQsCA","UgyA1BVSNUh9u3HyC4t4AaABAg","Vậy mà cánh cửa bay toe loét🤯🤯🤯","10/09/2025 10:21","0"
"aDQZ7zHQsCA","Ugy4JhofIUdW7IxCNi94AaABAg","Con người quá nhỏ bé so với thiên nhiên, kinh khủng thật!","10/09/2024 14:18","0"
"aDQZ7zHQsCA","UgzadnShCJjpcRAW1Ml4AaABAg","A di đà Phật","09/09/2024 17:25","1"
"aDQZ7zHQsCA","Ugzi-St-FHCZKQqSGrZ4AaABAg","Nam Mô A Di Đà Phật","09/09/2024 13:11","1"
"aDQZ7zHQsCA","Ugy8bm8qlBEa01eRpUJ4AaABAg","Nam mo a di đà phật","10/09/2024 02:03","1"
"aDQZ7zHQsCA","UgxP7P2lJO6bIsUfoo14AaABAg","Khủng khiếp","08/09/2024 22:20","1"
"aDQZ7zHQsCA","UgzAavxzlnw0C5ske794AaABAg","Tội quá. Khủng khiếp thật","09/09/2024 22:26","0"
"aDQZ7zHQsCA","UgwGhxwiww5bnOeWRSh4AaABAg","Kinh khủng. 100 năm mới có một lần. Thật tang thương lạnh leco","09/09/2024 22:01","0"
"aDQZ7zHQsCA","UgyQ5epqivlYsIHzAIJ4AaABAg","Gió mạnh quá !!🙏🏻🙏🏻🙏🏻","11/09/2024 04:50","0"
"aDQZ7zHQsCA","UgwLzrS2gq-YBMqQynF4AaABAg","nam mo A Di Đà Phật","08/09/2024 23:38","1"
"OTcYhxRkQ9E","UgyVEsPfkGH2W00FzVR4AaABAg","Mong anh em miền Bắc luôn bình yên cố gắn vượt qua bão","09/09/2024 21:30","6"
"OTcYhxRkQ9E","UgylaaBM0ZFoBCNAgXV4AaABAg","Chỗ tui sắp có siêu bão rồi 🫨🫨🥶🥶🥶😨😨","06/09/2024 13:05","6"
"OTcYhxRkQ9E","Ugw5qtuS773rJWDtK8h4AaABAg","Chỗ tui ở ko có năm nào có bão đi qua.  Chỉ bị ảnh hưởng thôi . Tui dân đồng nai . 
😊😊","06/09/2024 17:37","12"
"OTcYhxRkQ9E","UgxLysl_s9f38tK_v9Z4AaABAg","Chỗ tui siêu bão rồi ở Hà Nội","06/09/2024 16:25","2"
"OTcYhxRkQ9E","UgwJRmoKyXzkew7hHK14AaABAg","nguy hiểm quá 😢😢😢😢😢😢😢","06/09/2024 11:27","0"
"OTcYhxRkQ9E","UgyXRNpZZJaAk7FYOph4AaABAg","Chỗ tui sắp có siêu bão nè","06/09/2024 13:03","0"
"OTcYhxRkQ9E","Ugy4RDRSI5Ui6qYQlX94AaABAg","Em thì bị ảnh hưởng nhưng em    lo quá mọi người khác 😢😢😢😢😢😢😢😢😢😢😢😢","06/09/2024 18:01","0"
"OTcYhxRkQ9E","UgzELNubBx0IAmVlRUJ4AaABAg","Nam Mô A Di Đà  Phật nam mô a di đà Phật","07/09/2024 11:56","0"
"OTcYhxRkQ9E","Ugzh0BqgrxhAevFmmWx4AaABAg","Nam Mô A Di Đà Phật","06/09/2024 11:59","0"
"OTcYhxRkQ9E","UgxmWXxYaC3RsdW2drN4AaABAg","chỗ tui ko sao cần thơ yên bình😊","08/09/2024 09:52","0"
"OTcYhxRkQ9E","Ugx1ZCwRIQy33kizkoJ4AaABAg","Tôi cũng người đồng nai","07/09/2024 21:12","0"
"OTcYhxRkQ9E","UgxV_FMLp_m-MIpRjIJ4AaABAg","Tôi ở Thái Nguyên mà gió thổi muốn quật gãy hết cây. Gió mạnh v","07/09/2024 15:15","0"
"OTcYhxRkQ9E","UgzLhcHluBq9m3UK4CZ4AaABAg","tôi ở Hải Phòng có đổ bộ","03/07/2025 12:17","0"
"OTcYhxRkQ9E","UgwybjW_bvjhoGcxRtt4AaABAg","Nhà tui là ở tâm","26/08/2025 21:13","1"
"OTcYhxRkQ9E","UgwX-rpk8FooKeLPVJV4AaABAg","Nhạc 😀
Nội dung ☠️☠️☠️💀💀💀🌀🌀🌀","06/09/2024 18:58","5"
